frame_number,timestamp_ms,max_flow_magnitude
1,20.0,0.15992005
2,40.0,0.1987331
3,60.0,0.18384114
4,80.0,0.1751128
5,100.0,0.21399273
6,120.0,0.15552062
7,140.0,0.12641785
8,160.0,0.2176171
9,180.0,0.33474234
10,200.0,0.34388784
11,220.0,0.18802717
12,240.0,0.25885525
13,260.0,0.20951651
14,280.0,0.21608077
15,300.0,0.22385027
16,320.0,0.32056448
17,340.0,0.19927134
18,360.0,0.22318664
19,380.0,0.17580377
20,400.0,0.2300791
21,420.0,0.2224545
22,440.0,0.318285
23,460.0,0.18593322
24,480.0,0.22927862
25,500.0,0.13255967
26,520.0,0.1594285
27,540.0,0.15789585
28,560.0,0.11783786
29,580.0,0.16011398
30,600.0,0.19509433
31,620.0,0.12030141
32,640.0,0.13715555
33,660.0,0.10436209
34,680.0,0.121828005
35,700.0000000000001,0.09918213
36,720.0,0.10171206
37,740.0,0.037996788
38,760.0,0.04372919
39,780.0,0.026197871
40,800.0,0.08583455
41,820.0000000000001,0.054924935
42,840.0,0.09153267
43,860.0,0.081684016
44,880.0,0.10679359
45,900.0,0.100301534
46,920.0,0.1102393
47,940.0000000000001,0.13424733
48,960.0,0.19917037
49,980.0,0.13193662
50,1000.0,0.17425287
51,1020.0,0.13748676
52,1040.0,0.14228521
53,1060.0,0.15895356
54,1080.0,0.13734348
55,1100.0,0.18093996
56,1120.0,0.14207768
57,1140.0000000000002,0.20770027
58,1160.0,0.20946383
59,1180.0,0.15646513
60,1200.0,0.33440804
61,1220.0,0.1668681
62,1240.0,0.19967525
63,1260.0,0.19806027
64,1280.0,0.21365303
65,1300.0,0.30544525
66,1320.0,0.19668008
67,1340.0,0.24040373
68,1360.0,0.31366974
69,1380.0000000000002,0.23596573
70,1400.0000000000002,0.22536688
71,1420.0,0.16889252
72,1440.0,0.24481186
73,1460.0,0.17759143
74,1480.0,0.30797887
75,1500.0,0.26556426
76,1520.0,0.12359874
77,1540.0,0.16703582
78,1560.0,0.13082415
79,1580.0,0.13803698
80,1600.0,0.16173226
81,1620.0,0.23283571
82,1640.0000000000002,0.12165662
83,1660.0000000000002,0.15646668
84,1680.0,0.16582005
85,1700.0,0.07775894
86,1720.0,0.11925206
87,1740.0,0.1323735
88,1760.0,0.08897057
89,1780.0,0.051554047
90,1800.0,0.08394577
91,1820.0,0.06287061
92,1840.0,0.07215569
93,1860.0,0.027061986
94,1880.0000000000002,0.015150318
95,1900.0000000000002,0.01826076
96,1920.0,0.06637748
97,1940.0,0.057461772
98,1960.0,0.08025705
99,1980.0,0.10953017
100,2000.0,0.15028562
101,2020.0,0.06599439
102,2040.0,0.09925589
103,2060.0,0.093352474
104,2080.0,0.12745203
105,2100.0,0.15058416
106,2120.0,0.28286135
107,2140.0,0.1172177
108,2160.0,0.23680796
109,2180.0,0.13004074
110,2200.0,0.22290248
111,2220.0,0.13233818
112,2240.0,0.19720373
113,2260.0000000000005,0.14455552
114,2280.0000000000005,0.2515576
115,2300.0000000000005,0.1655892
116,2320.0,0.1750291
117,2340.0,0.16661912
118,2360.0,0.27592424
119,2380.0,0.15889229
120,2400.0,0.26001647
121,2420.0,0.21414213
122,2440.0,0.17429598
123,2460.0,0.13834493
124,2480.0,0.17427433
125,2500.0,0.15958229
126,2520.0,0.19220355
127,2540.0,0.16108385
128,2560.0,0.15247269
129,2580.0,0.14881824
130,2600.0,0.16193072
131,2620.0,0.122984566
132,2640.0,0.18085875
133,2660.0,0.09729007
134,2680.0,0.14507689
135,2700.0,0.10846779
136,2720.0,0.11553454
137,2740.0,0.08804285
138,2760.0000000000005,0.12914221
139,2780.0000000000005,0.087346256
140,2800.0000000000005,0.107752636
141,2820.0,0.086737715
142,2840.0,0.07750021
143,2860.0,0.08179695
144,2880.0,0.15126963
145,2900.0,0.02733844
146,2920.0,0.28791824
147,2940.0,0.13490434
148,2960.0,0.06590806
149,2980.0,0.058388453
150,3000.0,0.04781629
151,3020.0,0.14451869
152,3040.0,0.1140169
153,3060.0,0.0989982
154,3080.0,0.16425858
155,3100.0,0.1278667
156,3120.0,0.24527915
157,3140.0,0.08678845
158,3160.0,0.12587978
159,3180.0,0.13362996
160,3200.0,0.1264124
161,3220.0,0.14201413
162,3240.0,0.11966562
163,3260.0000000000005,0.1499631
164,3280.0000000000005,0.1519836
165,3300.0000000000005,0.22206105
166,3320.0000000000005,0.15633915
167,3340.0,0.19083229
168,3360.0,0.22405061
169,3380.0,0.15550755
170,3400.0,0.20806506
171,3420.0,0.12498763
172,3440.0,0.32552418
173,3460.0,0.22236004
174,3480.0,0.17469439
175,3500.0,0.18538356
176,3520.0,0.15773432
177,3540.0,0.16538794
178,3560.0,0.34602267
179,3580.0,0.16050725
180,3600.0,0.18895075
181,3620.0,0.09149211
182,3640.0,0.15779547
183,3660.0,0.12188235
184,3680.0,0.109944776
185,3700.0,0.15526535
186,3720.0,0.109251566
187,3740.0,0.1958447
188,3760.0000000000005,0.15648471
189,3780.0000000000005,0.11493724
190,3800.0000000000005,0.11359235
191,3820.0000000000005,0.12736423
192,3840.0,0.10880105
193,3860.0,0.032133907
194,3880.0,0.070009984
195,3900.0,0.09201534
196,3920.0,0.049869385
197,3940.0,0.03198925
198,3960.0,0.036215845
199,3980.0,0.04228817
200,4000.0,0.02303576
201,4020.0000000000005,0.03903474
202,4040.0,0.057506472
203,4060.0000000000005,0.121851936
204,4080.0,0.15779133
205,4100.0,0.037874185
206,4120.0,0.09571272
207,4140.0,0.17287067
208,4160.0,0.11690436
209,4180.0,0.127473
210,4200.0,0.21087152
211,4220.0,0.104984045
212,4240.0,0.17830531
213,4260.0,0.103490956
214,4280.0,0.18408269
215,4300.0,0.1108547
216,4320.0,0.18146285
217,4340.0,0.09333815
218,4360.0,0.1344956
219,4380.0,0.12895533
220,4400.0,0.1436958
221,4420.0,0.19700463
222,4440.0,0.21352549
223,4460.0,0.19693503
224,4480.0,0.2248444
225,4500.0,0.2499606
226,4520.000000000001,0.2043305
227,4540.0,0.19594312
228,4560.000000000001,0.2414037
229,4580.0,0.17535609
230,4600.000000000001,0.19516207
231,4620.0,0.16178901
232,4640.0,0.1349156
233,4660.0,0.17307153
234,4680.0,0.23610795
235,4700.0,0.17655885
236,4720.0,0.122204125
237,4740.0,0.12331436
238,4760.0,0.15836892
239,4780.0,0.12171933
240,4800.0,0.16254215
241,4820.0,0.0663441
242,4840.0,0.097817935
243,4860.0,0.107492015
244,4880.0,0.12780988
245,4900.0,0.08668619
246,4920.0,0.06290354
247,4940.0,0.06560939
248,4960.0,0.012703563
249,4980.0,0.023150435
250,5000.0,0.2246821
251,5020.000000000001,0.053644296
252,5040.0,0.061408103
253,5060.000000000001,0.0648441
254,5080.0,0.07336436
255,5100.000000000001,0.057149153
256,5120.0,0.11162814
257,5140.0,0.14156435
258,5160.0,0.08529556
259,5180.0,0.07978145
260,5200.0,0.09410271
261,5220.0,0.099853665
262,5240.0,0.11120539
263,5260.0,0.10869254
264,5280.0,0.17657465
265,5300.0,0.095843896
266,5320.0,0.15146562
267,5340.0,0.18989004
268,5360.0,0.12633713
269,5380.0,0.17760302
270,5400.0,0.13928978
271,5420.0,0.17595363
272,5440.0,0.13290516
273,5460.0,0.15277623
274,5480.0,0.1649353
275,5500.0,0.13490584
276,5520.000000000001,0.2517916
277,5540.0,0.18720166
278,5560.000000000001,0.13952643
279,5580.0,0.121813424
280,5600.000000000001,0.13206357
281,5620.0,0.12868194
282,5640.0,0.16941635
283,5660.0,0.15751296
284,5680.0,0.17522377
285,5700.0,0.2141755
286,5720.0,0.13950795
287,5740.0,0.17021187
288,5760.0,0.13641463
289,5780.0,0.10393431
290,5800.0,0.10992064
291,5820.0,0.1305404
292,5840.0,0.09830026
293,5860.0,0.2573274
294,5880.0,0.10485238
295,5900.0,0.12920582
296,5920.0,0.099145785
297,5940.0,0.07806482
298,5960.0,0.08693832
299,5980.0,0.11348898
300,6000.0,0.10175526
301,6020.000000000001,0.020797344
302,6040.0,0.03879494
303,6060.000000000001,0.064368404
304,6080.0,0.0575942
305,6100.000000000001,0.052790437
306,6120.0,0.066767216
307,6140.000000000001,0.05238908
308,6160.0,0.02220556
309,6180.0,0.068398185
310,6200.0,0.0823197
311,6220.0,0.07284688
312,6240.0,0.1941627
313,6260.0,0.04801027
314,6280.0,0.092504896
315,6300.0,0.10248205
316,6320.0,0.12598017
317,6340.0,0.14185342
318,6360.0,0.23681802
319,6380.0,0.11464492
320,6400.0,0.15401088
321,6420.0,0.120227225
322,6440.0,0.121294975
323,6460.0,0.09279822
324,6480.0,0.20237195
325,6500.0,0.10466677
326,6520.000000000001,0.13557404
327,6540.0,0.12435413
328,6560.000000000001,0.22423075
329,6580.0,0.27140835
330,6600.000000000001,0.16128926
331,6620.0,0.16852263
332,6640.000000000001,0.26912367
333,6660.0,0.135633
334,6680.0,0.24668555
335,6700.0,0.14666815
336,6720.0,0.2102975
337,6740.0,0.10401123
338,6760.0,0.16129185
339,6780.0,0.116296835
340,6800.0,0.15215608
341,6820.0,0.10427583
342,6840.0,0.17938858
343,6860.0,0.10755486
344,6880.0,0.17987515
345,6900.0,0.15780066
346,6920.0,0.09694819
347,6940.0,0.13673502
348,6960.0,0.14141773
349,6980.0,0.07013281
350,7000.0,0.093384296
351,7020.000000000001,0.06608056
352,7040.0,0.08911181
353,7060.000000000001,0.07697575
354,7080.0,0.05897513
355,7100.000000000001,0.07611541
356,7120.0,0.080872156
357,7140.000000000001,0.05889398
358,7160.0,0.08403544
359,7180.0,0.05194272
360,7200.0,0.1266502
361,7220.0,0.03212616
362,7240.0,0.05815562
363,7260.0,0.062431186
364,7280.0,0.078724705
365,7300.0,0.11629695
366,7320.0,0.15896723
367,7340.0,0.10972854
368,7360.0,0.12657487
369,7380.0,0.13524367
370,7400.0,0.2020375
371,7420.0,0.21362807
372,7440.0,0.20092474
373,7460.0,0.1030203
374,7480.0,0.1350564
375,7500.0,0.13290039
376,7520.000000000001,0.15666181
377,7540.0,0.14843881
378,7560.000000000001,0.21168695
379,7580.0,0.1372526
380,7600.000000000001,0.13395476
381,7620.0,0.13345832
382,7640.000000000001,0.1504385
383,7660.0,0.16826758
384,7680.0,0.17579919
385,7700.0,0.095522046
386,7720.0,0.16170701
387,7740.0,0.11910359
388,7760.0,0.11903994
389,7780.0,0.117643066
390,7800.0,0.16654404
391,7820.0,0.13747734
392,7840.0,0.14836894
393,7860.0,0.13997054
394,7880.0,0.13338171
395,7900.0,0.11662356
396,7920.0,0.17251043
397,7940.0,0.072806045
398,7960.0,0.111888915
399,7980.0,0.12765756
400,8000.0,0.11163338
401,8020.0,0.110046655
402,8040.000000000001,0.09021768
403,8060.000000000001,0.1343337
404,8080.0,0.15619111
405,8100.0,0.07512154
406,8120.000000000001,0.054970775
407,8140.000000000001,0.07123285
