Frame,Timestamp (s),Diferença Máxima
317,10.597,117.00
318,10.631,36.00
319,10.664,97.00
320,10.697,79.00
321,10.731,64.00
322,10.764,78.00
323,10.797,61.00
324,10.831,76.00
325,10.864,58.00
326,10.897,71.00
327,10.930,108.00
328,10.964,104.00
329,10.997,84.00
330,11.030,66.00
331,11.064,22.00
332,11.097,72.00
333,11.130,62.00
334,11.164,81.00
335,11.197,71.00
336,11.230,104.00
337,11.264,116.00
338,11.297,47.00
339,11.330,43.00
340,11.364,52.00
341,11.397,54.00
342,11.430,102.00
343,11.464,36.00
344,11.497,105.00
345,11.530,81.00
346,11.564,30.00
347,11.597,65.00
348,11.630,75.00
349,11.664,43.00
350,11.697,38.00
351,11.730,45.00
352,11.764,58.00
353,11.797,71.00
354,11.830,80.00
355,11.864,52.00
356,11.897,41.00
357,11.930,55.00
358,11.964,88.00
359,11.997,117.00
360,12.030,74.00
361,12.064,93.00
362,12.097,118.00
363,12.130,92.00
364,12.164,86.00
365,12.197,73.00
366,12.230,127.00
367,12.263,100.00
368,12.297,106.00
369,12.330,133.00
370,12.364,107.00
371,12.397,95.00
372,12.430,118.00
373,12.463,128.00
374,12.497,123.00
375,12.530,59.00
376,12.563,80.00
377,12.597,57.00
378,12.630,64.00
379,12.663,60.00
380,12.697,87.00
381,12.730,72.00
382,12.763,63.00
383,12.797,44.00
384,12.830,71.00
385,12.863,95.00
386,12.897,121.00
387,12.930,97.00
388,12.963,140.00
389,12.997,112.00
390,13.030,106.00
391,13.064,73.00
392,13.097,113.00
393,13.130,101.00
394,13.163,111.00
395,13.197,145.00
396,13.230,135.00
397,13.263,128.00
398,13.297,109.00
399,13.330,88.00
400,13.363,68.00
401,13.397,81.00
402,13.430,88.00
403,13.463,66.00
404,13.497,75.00
405,13.530,77.00
406,13.563,76.00
407,13.596,43.00
408,13.630,43.00
409,13.663,37.00
410,13.696,67.00
411,13.730,45.00
412,13.763,112.00
413,13.796,103.00
414,13.830,49.00
415,13.863,80.00
416,13.896,67.00
417,13.930,60.00
418,13.963,46.00
419,13.996,70.00
420,14.030,36.00
421,14.063,98.00
422,14.096,99.00
423,14.130,137.00
424,14.163,142.00
425,14.196,134.00
426,14.230,132.00
427,14.263,117.00
428,14.296,145.00
429,14.330,132.00
430,14.363,123.00
431,14.396,111.00
432,14.430,109.00
433,14.463,130.00
434,14.496,117.00
435,14.530,124.00
436,14.563,120.00
437,14.596,116.00
438,14.630,127.00
439,14.663,116.00
440,14.696,114.00
441,14.730,136.00
442,14.763,136.00
443,14.796,106.00
444,14.829,89.00
445,14.863,83.00
446,14.896,131.00
447,14.929,149.00
448,14.963,118.00
449,14.996,111.00
450,15.029,140.00
451,15.063,157.00
452,15.096,143.00
453,15.129,153.00
454,15.163,159.00
455,15.196,133.00
456,15.229,144.00
457,15.263,149.00
458,15.296,158.00
459,15.329,135.00
460,15.363,148.00
461,15.396,126.00
462,15.429,147.00
463,15.463,142.00
464,15.496,140.00
465,15.529,131.00
466,15.563,143.00
467,15.596,129.00
468,15.629,157.00
469,15.663,100.00
470,15.696,111.00
471,15.729,101.00
472,15.763,84.00
473,15.796,79.00
474,15.829,72.00
475,15.863,130.00
476,15.896,98.00
477,15.929,43.00
478,15.963,52.00
479,15.996,32.00
480,16.029,34.00
481,16.062,45.00
482,16.096,39.00
483,16.129,43.00
484,16.162,59.00
485,16.196,88.00
486,16.229,88.00
487,16.262,68.00
488,16.296,143.00
489,16.329,124.00
490,16.362,105.00
491,16.396,41.00
492,16.429,71.00
493,16.462,44.00
494,16.496,90.00
495,16.529,100.00
496,16.562,68.00
497,16.596,42.00
498,16.629,38.00
499,16.662,49.00
500,16.696,44.00
501,16.729,54.00
502,16.762,63.00
503,16.796,90.00
504,16.829,62.00
505,16.862,75.00
506,16.896,90.00
507,16.929,93.00
508,16.962,32.00
509,16.996,29.00
510,17.029,43.00
511,17.062,44.00
512,17.096,61.00
513,17.129,78.00
514,17.162,76.00
515,17.196,82.00
516,17.229,61.00
517,17.262,64.00
518,17.296,111.00
519,17.329,118.00
520,17.362,92.00
521,17.396,45.00
522,17.429,42.00
523,17.462,76.00
524,17.495,66.00
525,17.529,68.00
526,17.562,50.00
527,17.595,129.00
528,17.629,130.00
529,17.662,82.00
530,17.695,93.00
531,17.729,63.00
532,17.762,61.00
533,17.795,57.00
534,17.829,27.00
535,17.862,42.00
536,17.895,109.00
537,17.929,84.00
538,17.962,116.00
539,17.995,115.00
540,18.029,76.00
541,18.062,119.00
542,18.095,123.00
543,18.129,83.00
544,18.162,51.00
545,18.195,53.00
546,18.229,83.00
547,18.262,111.00
548,18.295,68.00
549,18.329,54.00
550,18.362,58.00
551,18.395,52.00
552,18.429,67.00
553,18.462,89.00
554,18.495,59.00
555,18.529,85.00
556,18.562,54.00
557,18.595,57.00
558,18.629,53.00
559,18.662,61.00
560,18.695,105.00
561,18.729,49.00
562,18.762,86.00
563,18.795,69.00
564,18.829,62.00
565,18.862,61.00
566,18.895,70.00
567,18.928,128.00
568,18.962,48.00
569,18.995,57.00
570,19.029,117.00
571,19.062,79.00
572,19.095,69.00
573,19.128,84.00
574,19.162,78.00
575,19.195,118.00
576,19.228,70.00
577,19.262,111.00
578,19.295,71.00
579,19.328,49.00
580,19.362,36.00
581,19.395,31.00
582,19.428,47.00
583,19.462,82.00
584,19.495,72.00
585,19.528,52.00
586,19.562,84.00
587,19.595,90.00
588,19.628,54.00
589,19.662,70.00
590,19.695,91.00
591,19.728,57.00
592,19.762,40.00
593,19.795,55.00
594,19.828,106.00
595,19.862,79.00
596,19.895,64.00
597,19.928,53.00
598,19.962,101.00
599,19.995,60.00
600,20.028,73.00
601,20.062,52.00
602,20.095,47.00
603,20.128,38.00
604,20.161,51.00
605,20.195,109.00
606,20.228,61.00
607,20.261,68.00
608,20.295,81.00
609,20.328,49.00
610,20.361,43.00
611,20.395,93.00
612,20.428,61.00
613,20.461,49.00
614,20.495,79.00
615,20.528,95.00
616,20.561,74.00
617,20.595,28.00
618,20.628,54.00
619,20.661,62.00
620,20.695,72.00
621,20.728,94.00
622,20.761,39.00
623,20.795,66.00
624,20.828,119.00
625,20.861,121.00
626,20.895,90.00
627,20.928,72.00
628,20.961,84.00
629,20.995,66.00
630,21.028,26.00
631,21.061,66.00
632,21.095,73.00
633,21.128,109.00
634,21.161,113.00
635,21.195,97.00
636,21.228,63.00
637,21.261,64.00
638,21.295,49.00
639,21.328,59.00
640,21.361,100.00
641,21.395,47.00
642,21.428,67.00
643,21.461,43.00
644,21.494,63.00
645,21.528,48.00
646,21.561,60.00
647,21.594,56.00
648,21.628,80.00
649,21.661,47.00
650,21.694,52.00
651,21.728,59.00
652,21.761,71.00
653,21.794,27.00
654,21.828,68.00
655,21.861,85.00
656,21.894,86.00
657,21.928,66.00
658,21.961,37.00
659,21.994,61.00
660,22.028,95.00
661,22.061,119.00
662,22.094,92.00
663,22.128,89.00
664,22.161,116.00
665,22.194,120.00
666,22.228,85.00
667,22.261,124.00
668,22.294,149.00
669,22.328,61.00
670,22.361,69.00
671,22.394,60.00
672,22.428,82.00
673,22.461,70.00
674,22.494,92.00
675,22.528,97.00
676,22.561,67.00
677,22.594,35.00
678,22.627,63.00
679,22.661,61.00
680,22.694,53.00
681,22.727,122.00
682,22.761,130.00
683,22.794,125.00
684,22.827,123.00
685,22.861,166.00
686,22.894,106.00
687,22.927,100.00
688,22.961,98.00
689,22.994,112.00
690,23.027,73.00
