frame_number,timestamp_ms,max_flow_magnitude
1,33.36558673384271,0.64380956
2,66.73117346768542,0.8267601
3,100.09676020152814,1.1269659
4,133.46234693537085,1.0585243
5,166.8279336692136,0.9767866
6,200.19352040305628,1.5741228
7,233.559107136899,0.89762974
8,266.9246938707417,1.228768
9,300.2902806045844,0.66655904
10,333.6558673384272,1.0869368
11,367.0214540722699,0.92677456
12,400.38704080611257,1.1853102
13,433.7526275399553,1.3161316
14,467.118214273798,1.6749924
15,500.4838010076407,1.2099437
16,533.8493877414834,0.82746744
17,567.2149744753261,0.92832994
18,600.5805612091688,0.8196015
19,633.9461479430115,1.1598961
20,667.3117346768544,1.5761603
21,700.677321410697,0.88296497
22,734.0429081445398,1.5992036
23,767.4084948783825,0.96842635
24,800.7740816122251,2.083487
25,834.1396683460679,1.4461497
26,867.5052550799106,1.0445812
27,900.8708418137534,1.4057876
28,934.236428547596,0.77464885
29,967.6020152814388,1.1863093
30,1000.9676020152814,0.8049994
31,1034.333188749124,0.932776
32,1067.6987754829668,1.5219194
33,1101.0643622168095,2.2647188
34,1134.4299489506523,1.8463073
35,1167.795535684495,0.81769544
36,1201.1611224183375,1.000532
37,1234.5267091521803,0.75540245
38,1267.892295886023,1.2040077
39,1301.257882619866,0.9431824
40,1334.6234693537087,0.9699827
41,1367.9890560875515,0.7707344
42,1401.354642821394,0.53262717
43,1434.7202295552368,1.0881183
44,1468.0858162890795,1.9283687
45,1501.4514030229222,1.6193632
46,1534.816989756765,0.73705673
47,1568.1825764906077,1.0771221
48,1601.5481632244503,1.0040072
49,1634.913749958293,0.90633917
50,1668.2793366921358,1.9886211
51,1701.6449234259785,0.6603597
52,1735.0105101598213,0.9969287
53,1768.376096893664,1.8462394
54,1801.7416836275067,1.0575842
55,1835.1072703613493,1.0169908
56,1868.472857095192,0.8999152
57,1901.8384438290348,1.3500289
58,1935.2040305628775,1.1483401
59,1968.5696172967203,0.5907583
60,2001.9352040305628,0.6402512
61,2035.3007907644053,0.7615224
62,2068.666377498248,0.99438506
63,2102.031964232091,0.7137984
64,2135.3975509659335,0.6242035
65,2168.763137699776,0.78327096
66,2202.128724433619,0.9526018
67,2235.4943111674615,1.0398822
68,2268.8598979013045,0.6523427
69,2302.225484635147,0.55817175
70,2335.59107136899,0.66792643
71,2368.9566581028325,1.0015174
72,2402.322244836675,0.5018968
73,2435.687831570518,1.0128169
74,2469.0534183043605,1.800461
75,2502.4190050382035,1.5161746
76,2535.784591772046,1.2261815
77,2569.1501785058886,1.4779224
78,2602.515765239732,0.7546096
79,2635.8813519735745,1.1008718
80,2669.2469387074175,0.80465144
81,2702.61252544126,0.5916484
82,2735.978112175103,0.67548174
83,2769.3436989089455,1.0062797
84,2802.709285642788,1.0358086
85,2836.074872376631,1.1717601
86,2869.4404591104735,2.002024
87,2902.8060458443165,1.0650142
88,2936.171632578159,0.880355
89,2969.537219312002,1.680749
90,3002.9028060458445,0.9725207
91,3036.268392779687,1.0333629
92,3069.63397951353,1.501278
93,3102.9995662473725,1.622274
94,3136.3651529812155,1.0255691
95,3169.730739715058,1.1081802
96,3203.0963264489005,1.4934309
97,3236.4619131827435,0.8673959
98,3269.827499916586,1.4977548
99,3303.193086650429,0.8594874
100,3336.5586733842715,0.7931884
101,3369.9242601181145,0.94758606
102,3403.289846851957,0.8641553
103,3436.6554335857995,1.1088177
104,3470.0210203196425,1.0931726
105,3503.386607053485,0.53462684
106,3536.752193787328,1.3240349
107,3570.1177805211705,1.2867621
108,3603.4833672550135,1.819742
109,3636.848953988856,1.6074263
110,3670.2145407226985,1.5488932
111,3703.5801274565415,1.4167533
112,3736.945714190384,2.9146655
113,3770.311300924227,3.2313833
114,3803.6768876580695,2.4633422
115,3837.042474391912,1.457669
116,3870.408061125755,0.8240004
117,3903.7736478595975,1.4850051
118,3937.1392345934405,2.1345248
119,3970.504821327283,2.4830866
120,4003.8704080611255,1.7779449
121,4037.235994794968,2.5470662
122,4070.6015815288106,4.077456
123,4103.967168262653,2.9041035
124,4137.332754996496,1.2959868
125,4170.698341730339,1.8365117
126,4204.063928464182,2.1623125
127,4237.429515198024,2.732156
128,4270.795101931867,2.6796794
129,4304.16068866571,2.2984657
130,4337.526275399552,1.5527848
131,4370.891862133395,1.5087487
132,4404.257448867238,1.9542131
133,4437.623035601081,1.5314265
134,4470.988622334923,1.3984236
135,4504.354209068766,2.1908433
136,4537.719795802609,2.1239426
137,4571.085382536451,2.0832813
138,4604.450969270294,1.521558
139,4637.816556004137,0.9520789
140,4671.18214273798,1.3610182
141,4704.547729471822,0.9791769
142,4737.913316205665,0.76699233
143,4771.278902939508,2.3310704
144,4804.64448967335,1.3741854
145,4838.010076407193,1.5738968
146,4871.375663141036,0.85226816
147,4904.741249874879,1.3731443
148,4938.106836608721,0.7870885
149,4971.472423342564,1.0029365
150,5004.838010076407,0.7573075
151,5038.203596810249,0.8758108
152,5071.569183544092,0.64069873
153,5104.934770277935,0.7485614
154,5138.300357011777,0.8932451
155,5171.665943745621,0.59123
156,5205.031530479464,1.1461364
157,5238.397117213307,1.5567169
158,5271.762703947149,1.4977523
159,5305.128290680992,1.3423809
160,5338.493877414835,1.0613441
161,5371.859464148677,0.6634015
162,5405.22505088252,1.4515743
163,5438.590637616363,0.8998271
164,5471.956224350206,1.0839806
165,5505.321811084048,1.2790478
166,5538.687397817891,0.7014766
167,5572.052984551734,1.6065282
168,5605.418571285576,0.92330813
169,5638.784158019419,1.6913111
170,5672.149744753262,0.7600291
171,5705.515331487105,0.77013916
172,5738.880918220947,1.5009357
173,5772.24650495479,1.0326395
174,5805.612091688633,0.64999324
175,5838.977678422475,1.3812125
176,5872.343265156318,1.4542463
177,5905.708851890161,1.0358208
178,5939.074438624004,1.1410025
179,5972.440025357846,0.904323
180,6005.805612091689,0.79397786
181,6039.171198825532,0.7984937
182,6072.536785559374,0.82482576
183,6105.902372293217,1.5309253
184,6139.26795902706,1.0880663
185,6172.633545760902,1.1077312
186,6205.999132494745,0.70010465
187,6239.364719228588,1.0553582
188,6272.730305962431,0.86946243
189,6306.095892696273,1.6996262
190,6339.461479430116,0.890583
191,6372.827066163959,0.793045
192,6406.192652897801,1.1062949
193,6439.558239631644,1.218855
194,6472.923826365487,0.94191694
195,6506.28941309933,1.0731032
196,6539.654999833172,0.60553867
197,6573.020586567015,0.691783
198,6606.386173300858,0.62598866
199,6639.7517600347,0.7290279
200,6673.117346768543,0.88760364
201,6706.482933502386,0.7139425
202,6739.848520236229,3.54812
203,6773.214106970071,46.770885
204,6806.579693703914,4.389336
205,6839.945280437757,11.823693
206,6873.310867171599,25.740608
207,6906.676453905442,3.6552088
208,6940.042040639285,3.544898
209,6973.407627373128,1.771898
210,7006.77321410697,2.4724438
211,7040.138800840813,2.4214382
212,7073.504387574656,1.5965943
213,7106.869974308498,0.81185323
214,7140.235561042341,1.3694905
215,7173.601147776184,1.1492923
216,7206.966734510027,1.815544
217,7240.332321243869,0.97148585
218,7273.697907977712,0.82478964
219,7307.063494711555,0.7103139
220,7340.429081445397,1.2471511
221,7373.79466817924,0.84356856
222,7407.160254913083,2.106126
223,7440.525841646926,0.7002525
224,7473.891428380768,0.9281713
225,7507.257015114611,1.4014437
226,7540.622601848454,1.9819138
227,7573.988188582296,1.3360622
228,7607.353775316139,1.304023
229,7640.719362049982,1.4157798
230,7674.084948783824,0.854482
231,7707.450535517667,0.79941463
232,7740.81612225151,0.69052064
233,7774.181708985353,0.87760407
234,7807.547295719195,0.92191076
235,7840.912882453038,1.0377733
236,7874.278469186881,0.58717126
237,7907.644055920723,0.8727496
238,7941.009642654566,0.4891604
239,7974.375229388409,0.77764493
240,8007.740816122251,0.93188655
241,8041.106402856094,1.3594369
242,8074.471989589936,0.9601609
243,8107.83757632378,0.92128795
244,8141.203163057621,0.8501377
245,8174.568749791465,1.0516697
246,8207.934336525306,0.7723269
247,8241.29992325915,0.76512176
248,8274.665509992992,0.6974142
249,8308.031096726836,0.5380819
250,8341.396683460678,0.4663137
251,8374.762270194522,0.5952306
252,8408.127856928364,1.28331
253,8441.493443662206,0.8727138
254,8474.859030396048,0.90180606
255,8508.224617129892,1.6021273
256,8541.590203863734,0.6471861
257,8574.955790597578,0.8882892
258,8608.32137733142,0.7055335
259,8641.686964065264,1.0209534
260,8675.052550799104,0.7835187
261,8708.418137532948,0.718815
262,8741.78372426679,0.80410326
263,8775.149311000634,0.90391135
264,8808.514897734476,0.6414651
265,8841.88048446832,0.56020135
266,8875.246071202162,0.5446932
267,8908.611657936004,0.41858733
268,8941.977244669846,0.6760327
269,8975.34283140369,0.818472
270,9008.708418137532,0.828763
271,9042.074004871376,0.47634104
272,9075.439591605218,0.995163
273,9108.805178339062,12.556794
274,9142.170765072902,7.0040255
275,9175.536351806746,8.439517
276,9208.901938540588,8.317415
277,9242.267525274432,3.958848
278,9275.633112008274,2.3362787
279,9308.998698742118,1.2204301
280,9342.36428547596,1.0858297
281,9375.729872209802,1.3874567
282,9409.095458943644,1.0309271
283,9442.461045677488,1.3262956
284,9475.82663241133,1.0491328
285,9509.192219145174,1.1130031
286,9542.557805879016,0.73602545
287,9575.92339261286,0.6825804
288,9609.2889793467,0.8391743
289,9642.654566080544,0.7306007
290,9676.020152814386,0.6585938
291,9709.38573954823,0.97498935
292,9742.751326282072,0.9406032
293,9776.116913015916,0.9529191
294,9809.482499749758,1.2793698
295,9842.8480864836,1.2835273
296,9876.213673217442,0.89625096
297,9909.579259951286,0.64567846
