frame_number,timestamp_ms,max_flow_magnitude
1,33.324446814182885,1.9730228
2,66.64889362836577,1.9490302
3,99.97334044254865,1.2626833
4,133.29778725673154,1.0136435
5,166.62223407091443,0.9726949
6,199.9466808850973,0.8969137
7,233.27112769928019,0.88065857
8,266.5955745134631,1.076792
9,299.92002132764594,0.7444813
10,333.24446814182886,0.87584436
11,366.5689149560117,3.7838144
12,399.8933617701946,6.151911
13,433.21780858437745,1.081601
14,466.54225539856037,2.5624573
15,499.8667022127433,3.442905
16,533.1911490269262,1.8384292
17,566.515595841109,0.6998704
18,599.8400426552919,1.0609131
19,633.1644894694748,1.0291563
20,666.4889362836577,0.61124223
21,699.8133830978405,0.58911324
22,733.1378299120234,0.8635455
23,766.4622767262064,0.9876581
24,799.7867235403892,1.1385914
25,833.1111703545721,0.5818643
26,866.4356171687549,0.75245905
27,899.7600639829378,0.65791637
28,933.0845107971207,1.0686466
29,966.4089576113037,1.0996196
30,999.7334044254866,1.4306035
31,1033.0578512396694,1.7552698
32,1066.3822980538523,1.3274823
33,1099.706744868035,1.0484103
34,1133.031191682218,0.8843783
35,1166.3556384964008,0.71685845
36,1199.6800853105838,0.89279133
37,1233.0045321247667,3.0381901
38,1266.3289789389496,3.7321386
39,1299.6534257531325,3.7741075
40,1332.9778725673154,1.8612832
41,1366.3023193814984,3.6162312
42,1399.626766195681,1.5060366
43,1432.951213009864,1.512385
44,1466.275659824047,0.8220247
45,1499.6001066382298,1.118516
46,1532.9245534524127,1.0105039
47,1566.2490002665954,1.0858289
48,1599.5734470807784,1.3979244
49,1632.8978938949613,1.161787
50,1666.2223407091442,0.9662842
51,1699.5467875233269,0.819742
52,1732.8712343375098,0.75137645
53,1766.1956811516927,0.8455944
54,1799.5201279658756,0.79985416
55,1832.8445747800586,0.5292382
56,1866.1690215942415,0.8341159
57,1899.4934684084244,0.8878215
58,1932.8179152226073,0.72157913
59,1966.1423620367902,0.8246344
60,1999.4668088509732,0.8175128
61,2032.7912556651556,1.0872519
62,2066.115702479339,0.89823234
63,2099.4401492935217,2.229386
64,2132.7645961077046,1.7642218
65,2166.089042921887,7.732617
66,2199.41348973607,2.0873652
67,2232.737936550253,3.2425952
68,2266.062383364436,1.4959005
69,2299.3868301786188,1.0845127
70,2332.7112769928017,1.2752596
71,2366.0357238069846,0.9980782
72,2399.3601706211675,0.8939935
73,2432.6846174353504,0.6456697
74,2466.0090642495334,0.77875835
75,2499.3335110637163,1.1803099
76,2532.657957877899,0.6456082
77,2565.982404692082,0.6525294
78,2599.306851506265,1.1699158
79,2632.631298320448,1.132942
80,2665.955745134631,1.2606629
81,2699.280191948814,1.3909361
82,2732.6046387629967,0.9648585
83,2765.9290855771796,1.2027936
84,2799.253532391362,1.3490238
85,2832.577979205545,0.7113724
86,2865.902426019728,2.3418748
87,2899.226872833911,1.2660108
88,2932.551319648094,0.7897747
89,2965.8757664622767,1.3579102
90,2999.2002132764596,4.0527573
91,3032.5246600906426,2.4635441
92,3065.8491069048255,2.8968382
93,3099.173553719008,2.684329
94,3132.498000533191,1.1063001
95,3165.822447347374,1.2580097
96,3199.1468941615567,0.8549462
97,3232.4713409757396,0.94139916
98,3265.7957877899225,1.2220858
99,3299.1202346041055,0.9621807
100,3332.4446814182884,1.0231292
101,3365.7691282324713,1.0136561
102,3399.0935750466538,0.6017527
103,3432.4180218608367,0.93197995
104,3465.7424686750196,0.8574959
105,3499.0669154892025,0.5522986
106,3532.3913623033854,0.9683557
107,3565.7158091175684,0.5499724
108,3599.0402559317513,0.8826707
109,3632.364702745934,1.1049271
110,3665.689149560117,1.1241406
111,3699.0135963743,1.5626212
112,3732.338043188483,1.1085635
113,3765.662490002666,1.2267667
114,3798.986936816849,1.2891929
115,3832.3113836310317,1.4169778
116,3865.6358304452147,3.8818152
117,3898.9602772593976,2.2523074
118,3932.2847240735805,8.762714
119,3965.6091708877634,1.655301
120,3998.9336177019463,1.5562
121,4032.258064516129,0.9724361
122,4065.5825113303113,0.71748185
123,4098.906958144495,1.1526816
124,4132.231404958678,1.0596783
125,4165.5558517728605,1.1358132
126,4198.880298587043,0.9026448
127,4232.204745401226,1.357909
128,4265.529192215409,1.2187978
129,4298.853639029592,1.5852568
130,4332.178085843774,1.257154
131,4365.502532657958,1.13589
132,4398.82697947214,0.94293654
133,4432.151426286324,1.0230367
134,4465.475873100506,0.92471874
135,4498.80031991469,0.5828427
136,4532.124766728872,0.7322616
137,4565.4492135430555,0.96181226
138,4598.7736603572375,0.7988068
139,4632.098107171421,1.4644223
140,4665.422553985603,1.5189357
141,4698.747000799787,1.2985939
142,4732.071447613969,1.8640009
143,4765.395894428153,4.5881443
144,4798.720341242335,4.481496
145,4832.044788056519,5.2680864
146,4865.369234870701,1.294837
147,4898.693681684885,1.6399289
148,4932.018128499067,2.9692144
149,4965.342575313249,1.221841
150,4998.667022127433,1.0699028
151,5031.991468941615,1.1752447
152,5065.315915755798,1.6317722
153,5098.64036256998,1.3762032
154,5131.964809384164,1.467339
155,5165.289256198346,1.3663732
156,5198.61370301253,1.561356
157,5231.938149826712,1.3192295
158,5265.262596640896,1.4193684
159,5298.587043455078,1.5773335
160,5331.911490269262,1.4694716
161,5365.235937083444,1.435407
162,5398.560383897628,2.3140867
163,5431.88483071181,1.540309
164,5465.2092775259935,0.8582571
165,5498.5337243401755,0.92339516
166,5531.858171154359,0.9977041
167,5565.182617968541,0.6668796
168,5598.507064782724,0.9741267
169,5631.831511596907,1.5841143
170,5665.15595841109,4.6178265
171,5698.480405225273,12.036062
172,5731.804852039456,22.055918
173,5765.129298853639,1.3838247
174,5798.453745667822,0.7359514
175,5831.778192482005,1.2767116
176,5865.102639296188,1.2127907
